URL,U ID,Department,Name,Description,Creation Date,Last Update Date (data),Category,Owner UID,License,Data Provided By,Source Link,api_endpoint,Parent UID,provenance,Owner
https://data.lacity.org/d/sapw-xd2z,sapw-xd2z,LAPD,Homicide 2019 YTD,"This dataset reflects incidents of crime in the City of Los Angeles from 2010 - 2019. This data is transcribed from original crime reports that are typed on paper and therefore there may be some inaccuracies within the data. Some location fields with missing data are noted as (0°, 0°). Address fields are only provided to the nearest hundred block in order to maintain privacy. This data is as accurate as the data in the database. Please note questions or concerns in the comments.",11/09/2020 11:23:00 PM +0000,11/11/2020 02:01:00 PM,A Safe City,5ze7-3n2b,Creative Commons 1.0 Universal (Public Domain Dedication),Los Angeles Police Department,http://data.lacity.org,https://data.lacity.org/resource/sapw-xd2z.json,63jg-8b9z,community,Dustin DeRollo
https://data.lacity.org/d/nxw7-u22u,nxw7-u22u,LAPD,Areas calls for service in LAPD 2019,This dataset reflects calls for service incidents in the City of Los Angeles in the year 2019. This data is as accurate as the data in the database. Please note questions or concerns in the comments.,11/11/2020 02:08:00 PM +0000,03/28/2020 01:36:00 AM,A Safe City,gj2p-awmc,Creative Commons 1.0 Universal (Public Domain Dedication),Los Angeles Police Department,,https://data.lacity.org/resource/nxw7-u22u.json,r4ka-x5je,community,Kathleen Jacoby
https://data.lacity.org/d/uv9c-hcma,uv9c-hcma,LAPD,2020 criminal homicides,"This dataset reflects incidents of crime in the City of Los Angeles dating back to 2020. This data is transcribed from original crime reports that are typed on paper and therefore there may be some inaccuracies within the data. Some location fields with missing data are noted as (0°, 0°). Address fields are only provided to the nearest hundred block in order to maintain privacy. This data is as accurate as the data in the database. Please note questions or concerns in the comments.",11/04/2020 11:30:00 PM +0000,11/11/2020 02:10:00 PM,A Safe City,wtrx-cia2,Creative Commons 1.0 Universal (Public Domain Dedication),Los Angeles Police Department,http://data.lacity.org,https://data.lacity.org/resource/uv9c-hcma.json,2nrs-mtv8,community,Nasir
https://data.lacity.org/d/y5xc-m9kz,y5xc-m9kz,LAPD,2019 criminal homicides,"This dataset reflects incidents of crime in the City of Los Angeles from 2010 - 2019. This data is transcribed from original crime reports that are typed on paper and therefore there may be some inaccuracies within the data. Some location fields with missing data are noted as (0°, 0°). Address fields are only provided to the nearest hundred block in order to maintain privacy. This data is as accurate as the data in the database. Please note questions or concerns in the comments.",11/04/2020 11:20:00 PM +0000,11/11/2020 02:01:00 PM,A Safe City,wtrx-cia2,Creative Commons 1.0 Universal (Public Domain Dedication),Los Angeles Police Department,http://data.lacity.org,https://data.lacity.org/resource/y5xc-m9kz.json,63jg-8b9z,community,Nasir
https://data.lacity.org/d/9tva-zyvy,9tva-zyvy,,viewable,"The Department of Building and Safety issues permits for the construction, remodeling, and repair of buildings and structures in the City of Los Angeles.  Permits are categorized into building permits, electrical permits, and mechanical permits (which include plumbing, HVAC systems, fire sprinklers, elevators, and pressure vessels).  Depending on the complexity of a project, a permit may be issued the same day with Express Permit or e-Permit (""No Plan Check"" category), or a permit may require that the plans be reviewed (""Plan Check"" category) by a Building and Safety Plan Check personnel.",10/29/2020 06:09:00 PM +0000,11/09/2020 10:19:00 AM,A Prosperous City,6tik-hicg,Creative Commons Attribution 4.0 International,LADBS,https://creativecommons.org/licenses/by/4.0/,https://data.lacity.org/resource/9tva-zyvy.json,yv23-pmwf,community,jilsanderror@gmail.com
https://data.lacity.org/d/spr7-jwnq,spr7-jwnq,,viewable,"The Department of Building and Safety issues permits for the construction, remodeling, and repair of buildings and structures in the City of Los Angeles.  Permits are categorized into building permits, electrical permits, and mechanical permits (which include plumbing, HVAC systems, fire sprinklers, elevators, and pressure vessels).  Depending on the complexity of a project, a permit may be issued the same day with Express Permit or e-Permit (""No Plan Check"" category), or a permit may require that the plans be reviewed (""Plan Check"" category) by a Building and Safety Plan Check personnel.",10/29/2020 06:09:00 PM +0000,11/09/2020 10:19:00 AM,A Prosperous City,6tik-hicg,Creative Commons Attribution 4.0 International,LADBS,https://creativecommons.org/licenses/by/4.0/,https://data.lacity.org/resource/spr7-jwnq.json,yv23-pmwf,community,jilsanderror@gmail.com
https://controllerdata.lacity.org/d/29u2-qeci,29u2-qeci,,HHH Projects 2020,This dataset lists the City's proposition HHH projects and their associated costs. These locations are referenced in the 2020 HHH projects report provided by the Office of the Controller. View the full report here:,09/03/2020 03:38:00 AM +0000,09/08/2020 10:37:00 PM,Audits and Reports,594h-mv4h,Creative Commons Attribution 4.0 International,Office of the Controller - City of Los Angeles,,https://controllerdata.lacity.org/resource/29u2-qeci.json,,official,Controller Galperin
https://data.lacity.org/d/iu2q-8hhk,iu2q-8hhk,Building and Safety,Grading 2020,"The Department of Building and Safety issues permits for the construction, remodeling, and repair of buildings and structures in the City of Los Angeles.  Permits are categorized into building permits, electrical permits, and mechanical permits (which include plumbing, HVAC systems, fire sprinklers, elevators, and pressure vessels).  Depending on the complexity of a project, a permit may be issued the same day with Express Permit or e-Permit (""No Plan Check"" category), or a permit may require that the plans be reviewed (""Plan Check"" category) by a Building and Safety Plan Check personnel.",10/27/2020 11:47:00 AM +0000,11/09/2020 10:19:00 AM,A Prosperous City,ap5u-tpst,Creative Commons Attribution 4.0 International,LADBS,https://creativecommons.org/licenses/by/4.0/,https://data.lacity.org/resource/iu2q-8hhk.json,yv23-pmwf,community,jifarrar
https://controllerdata.lacity.org/d/8s4w-khwv,8s4w-khwv,Controller,Small Business Emergency Microloans,"The City of Los Angeles created the Small Business Emergency Microloan Program in March 2020 to distribute $11 million to local businesses that are not eligible for federal CARES Act funds. L.A. Controller Ron Galperin, in coordination with Economic and Workforce Development Department (EWDD), created a Microloan Tracker to ensure public accountability and give Angelenos access to up-to-date information on how the City is supporting the local economy. Use this dataset to find microloan recipients or visit https://lacontroller.org/data-stories-and-maps/microloans/ to view a map of microloan recipients.",10/26/2020 03:47:00 PM +0000,10/26/2020 03:57:00 PM,,594h-mv4h,Creative Commons Attribution 4.0 International,EWDD,,https://controllerdata.lacity.org/resource/8s4w-khwv.json,,official,Controller Galperin
https://data.lacity.org/d/fa5j-wdaf,fa5j-wdaf,Building and Safety,Shoring 2020,"The Department of Building and Safety issues permits for the construction, remodeling, and repair of buildings and structures in the City of Los Angeles.  Permits are categorized into building permits, electrical permits, and mechanical permits (which include plumbing, HVAC systems, fire sprinklers, elevators, and pressure vessels).  Depending on the complexity of a project, a permit may be issued the same day with Express Permit or e-Permit (""No Plan Check"" category), or a permit may require that the plans be reviewed (""Plan Check"" category) by a Building and Safety Plan Check personnel.",10/26/2020 01:30:00 PM +0000,11/09/2020 10:19:00 AM,A Prosperous City,ap5u-tpst,Creative Commons Attribution 4.0 International,LADBS,https://creativecommons.org/licenses/by/4.0/,https://data.lacity.org/resource/fa5j-wdaf.json,yv23-pmwf,community,jifarrar
